Sample in Buffer,Sample in Window,TRIGGER,U_cpu/inst[31:0],debug_wb_pc[31:0],debug_wb_rf_wdata[31:0],debug_wb_rf_addr[4:0],clk_IBUF_BUFG,debug_wb_rf_wen,p_0_in
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
372,372,0,8c010004,00000000,00000000,01,0,1,0
373,373,0,8c010004,00000000,00000000,01,0,1,0
374,374,0,8c010004,00000000,00000000,01,0,1,0
375,375,0,8c010004,00000000,00000000,01,0,1,0
376,376,0,8c010004,00000000,00000000,01,0,1,0
377,377,0,8c010004,00000000,00000000,01,0,1,0
378,378,0,8c010004,00000000,00000000,01,0,1,0
379,379,0,8c010004,00000000,00000000,01,0,1,0
380,380,0,8c010004,00000000,00000000,01,0,1,0
381,381,0,8c010004,00000000,00000000,01,0,1,0
382,382,0,8c010004,00000000,00000000,01,0,1,0
383,383,0,8c010004,00000000,00000000,01,0,1,0
384,384,0,8c010004,00000000,00000000,01,0,1,0
385,385,0,8c010004,00000000,00000000,01,0,1,0
386,386,0,8c010004,00000000,00000000,01,0,1,0
387,387,0,8c010004,00000000,00000000,01,0,1,0
388,388,0,8c010004,00000000,00000000,01,0,1,0
389,389,0,8c010004,00000000,00000000,01,0,1,0
390,390,0,8c010004,00000000,00000000,01,0,1,0
391,391,0,8c010004,00000000,00000000,01,0,1,0
392,392,0,8c010004,00000000,00000000,01,0,1,0
393,393,0,8c010004,00000000,00000000,01,0,1,0
394,394,0,8c010004,00000000,00000000,01,0,1,0
395,395,0,8c010004,00000000,00000000,01,0,1,0
396,396,0,8c010004,00000000,00000000,01,0,1,0
397,397,0,8c010004,00000000,00000000,01,0,1,0
398,398,0,8c010004,00000000,00000000,01,0,1,0
399,399,0,8c010004,00000000,00000000,01,0,1,0
400,400,0,8c010004,00000000,00000000,01,0,1,0
401,401,0,8c010004,00000000,00000000,01,0,1,0
402,402,0,8c010004,00000000,00000000,01,0,1,0
403,403,0,8c010004,00000000,00000000,01,0,1,0
404,404,0,8c010004,00000000,00000000,01,0,1,0
405,405,0,8c010004,00000000,00000000,01,0,1,0
406,406,0,8c010004,00000000,00000000,01,0,1,0
407,407,0,8c010004,00000000,00000000,01,0,1,0
408,408,0,8c010004,00000000,00000000,01,0,1,0
409,409,0,8c010004,00000000,00000000,01,0,1,0
410,410,0,8c010004,00000000,00000000,01,0,1,0
411,411,0,8c010004,00000000,00000000,01,0,1,0
412,412,0,8c010004,00000000,00000000,01,0,1,0
413,413,0,8c010004,00000000,00000000,01,0,1,0
414,414,0,8c010004,00000000,00000000,01,0,1,0
415,415,0,8c010004,00000000,00000000,01,0,1,0
416,416,0,8c010004,00000000,00000000,01,0,1,0
417,417,0,8c010004,00000000,00000000,01,0,1,0
418,418,0,8c010004,00000000,00000000,01,0,1,0
419,419,0,8c010004,00000000,00000000,01,0,1,0
420,420,0,8c010004,00000000,00000000,01,0,1,0
421,421,0,8c010004,00000000,00000000,01,0,1,0
422,422,0,8c010004,00000000,00000000,01,0,1,0
423,423,0,8c010004,00000000,00000000,01,0,1,0
424,424,0,8c010004,00000000,00000000,01,0,1,0
425,425,0,8c010004,00000000,00000000,01,0,1,0
426,426,0,8c010004,00000000,00000000,01,0,1,0
427,427,0,8c010004,00000000,00000000,01,0,1,0
428,428,0,8c010004,00000000,00000000,01,0,1,0
429,429,0,8c010004,00000000,00000000,01,0,1,0
430,430,0,8c010004,00000000,00000000,01,0,1,0
431,431,0,8c010004,00000000,00000000,01,0,1,0
432,432,0,8c010004,00000000,00000000,01,0,1,0
433,433,0,8c010004,00000000,00000000,01,0,1,0
434,434,0,8c010004,00000000,00000000,01,0,1,0
435,435,0,8c010004,00000000,00000000,01,0,1,0
436,436,0,8c010004,00000000,00000000,01,0,1,0
437,437,0,8c010004,00000000,00000000,01,0,1,0
438,438,0,8c010004,00000000,00000000,01,0,1,0
439,439,0,8c010004,00000000,00000000,01,0,1,0
440,440,0,8c010004,00000000,00000000,01,0,1,0
441,441,0,8c010004,00000000,00000000,01,0,1,0
442,442,0,8c010004,00000000,00000000,01,0,1,0
443,443,0,8c010004,00000000,00000000,01,0,1,0
444,444,0,8c010004,00000000,00000000,01,0,1,0
445,445,0,8c010004,00000000,00000000,01,0,1,0
446,446,0,8c010004,00000000,00000000,01,0,1,0
447,447,0,8c010004,00000000,00000000,01,0,1,0
448,448,0,8c010004,00000000,00000000,01,0,1,0
449,449,0,8c010004,00000000,00000000,01,0,1,0
450,450,0,8c010004,00000000,00000000,01,0,1,0
451,451,0,8c010004,00000000,00000000,01,0,1,0
452,452,0,8c010004,00000000,00000000,01,0,1,0
453,453,0,8c010004,00000000,00000000,01,0,1,0
454,454,0,8c010004,00000000,00000000,01,0,1,0
455,455,0,8c010004,00000000,00000000,01,0,1,0
456,456,0,8c010004,00000000,00000000,01,0,1,0
457,457,0,8c010004,00000000,00000000,01,0,1,0
458,458,0,8c010004,00000000,00000000,01,0,1,0
459,459,0,8c010004,00000000,00000000,01,0,1,0
460,460,0,8c010004,00000000,00000000,01,0,1,0
461,461,0,8c010004,00000000,00000000,01,0,1,0
462,462,0,8c010004,00000000,00000000,01,0,1,0
463,463,0,8c010004,00000000,00000000,01,0,1,0
464,464,0,8c010004,00000000,00000000,01,0,1,0
465,465,0,8c010004,00000000,00000000,01,0,1,0
466,466,0,8c010004,00000000,00000000,01,0,1,0
467,467,0,8c010004,00000000,00000000,01,0,1,0
468,468,0,8c010004,00000000,00000000,01,0,1,0
469,469,0,8c010004,00000000,00000000,01,0,1,0
470,470,0,8c010004,00000000,00000000,01,0,1,0
471,471,0,8c010004,00000000,00000000,01,0,1,0
472,472,0,8c010004,00000000,00000000,01,0,1,0
473,473,0,8c010004,00000000,00000000,01,0,1,0
474,474,0,8c010004,00000000,00000000,01,0,1,0
475,475,0,8c010004,00000000,00000000,01,0,1,0
476,476,0,8c010004,00000000,00000000,01,0,1,0
477,477,0,8c010004,00000000,00000000,01,0,1,0
478,478,0,8c010004,00000000,00000000,01,0,1,0
479,479,0,8c010004,00000000,00000000,01,0,1,0
